"Year","Score","Pro-environment Votes","Anti-environment Votes"
"2016","3%","1","37"
"2015","0%","0","35"
"2014","3%","1","34"
"2013","0%","0","28"
"2012","6%","2","33"
"2011","9%","3","32"
"2010","0%","0","10"
"2009","0%","0","14"
"2008","0%","0","13"
"2007","0%","0","20"
""
