"id","memname","icode","indus","pac","indiv","totals","sourcedate","cycle","Origin","Source"
"N00007360","Nancy Pelosi (D)","N02","Beer, Wine & Liquor","20000","18704","38704","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","F13","Misc Finance","0","36600","36600","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","Q09","Human Rights","8500","25582","34082","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","D01","Defense Aerospace","32500","759","33259","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","P05","Misc Unions","29500","240","29740","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","B09","Telecom Services","27000","1160","28160","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","M01","Air Transport","25500","2380","27880","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","N03","Retail Sales","17000","9649","26649","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","Q11","Environment","4000","22135","26135","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
"N00007360","Nancy Pelosi (D)","B01","Printing & Publishing","0","22868","22868","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?type=I&amp;cid=N00007360&amp;newMem=N&amp;recs=0&amp;cycle=2016"
