"id","memname","icode","indus","pac","indiv","totals","sourcedate","cycle","Origin","Source"
"N00031134","Patrick Meehan (R)","D01","Defense Aerospace","29000","8650","37650","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","P01","Building Trade Unions","36000","0","36000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","F13","Misc Finance","16700","19200","35900","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","N15","Misc Manufacturing & Distributing","19500","12850","32350","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","E07","Misc Energy","11620","20500","32120","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","N01","Food & Beverage","24000","6400","30400","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","W06","Retired","0","30050","30050","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","Q01","Republican/Conservative","24000","5641","29641","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","M02","Automotive","24000","5400","29400","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00031134","Patrick Meehan (R)","C01","General Contractors","3500","23800","27300","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00031134&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
